positive_ratings,owners,average_playtime,median_playtime,price
97,15000000.0,17612,317,7.19
83,7500000.0,277,62,3.99
89,7500000.0,187,34,3.99
82,7500000.0,258,184,3.99
94,7500000.0,624,415,3.99
80,7500000.0,175,10,3.99
96,7500000.0,1300,83,7.19
89,15000000.0,427,43,7.19
90,7500000.0,361,205,3.99
96,15000000.0,691,402,7.19
95,15000000.0,6842,400,7.19
78,3500000.0,190,214,0.0
89,7500000.0,1356,134,7.19
88,15000000.0,311,32,3.99
85,15000000.0,46,29,0.0
74,7500000.0,102,81,0.0
93,7500000.0,281,184,5.79
97,15000000.0,288,137,7.19
95,7500000.0,354,301,5.79
93,35000000.0,8495,623,0.0
94,7500000.0,897,278,7.19
96,15000000.0,1615,566,7.19
85,150000000.0,23944,801,0.0
98,15000000.0,1102,520,7.19
94,3500000.0,371,83,0.0
86,75000000.0,22494,6502,0.0
70,35000.0,0,0,5.99
87,750000.0,232,258,3.99
95,3500000.0,1328,306,14.99
88,150000.0,0,0,7.19
74,750000.0,182,273,7.19
91,750000.0,65,77,6.99
85,750000.0,80,119,7.19
83,750000.0,121,224,7.19
76,75000.0,0,0,22.99
81,75000.0,0,0,6.99
80,150000.0,0,0,4.99
76,150000.0,9,12,4.99
57,35000.0,0,0,3.99
69,75000.0,35,35,10.99
86,150000.0,11,21,2.99
93,1500000.0,239,77,0.0
67,1500000.0,405,414,3.99
71,1500000.0,484,422,6.99
93,1500000.0,634,700,4.29
95,350000.0,123,103,12.99
83,350000.0,36,32,12.99
95,350000.0,69,110,2.99
93,750000.0,125,179,3.99
87,350000.0,120,114,3.99
93,750000.0,90,78,3.99
95,350000.0,167,189,3.99
92,350000.0,291,349,3.99
84,350000.0,32,32,2.49
62,350000.0,1,1,2.49
77,350000.0,0,0,12.99
90,350000.0,50,50,2.99
74,150000.0,0,0,2.99
93,350000.0,0,0,2.99
85,1500000.0,233,239,0.0
76,150000.0,193,193,4.29
79,750000.0,186,258,3.99
53,75000.0,0,0,0.0
53,350000.0,0,0,2.99
94,750000.0,350,202,14.99
89,75000.0,462,889,9.99
93,350000.0,545,849,14.99
91,350000.0,750,1041,14.99
83,350000.0,0,0,14.99
84,35000.0,0,0,1.99
77,35000.0,0,0,3.99
65,35000.0,0,0,5.99
80,350000.0,732,732,4.99
71,350000.0,831,1232,9.99
85,750000.0,972,1273,15.99
74,350000.0,648,648,3.49
76,35000.0,13,13,3.49
41,350000.0,1744,3386,24.99
75,35000.0,0,0,22.99
80,75000.0,0,0,22.99
70,35000.0,0,0,22.99
94,750000.0,293,351,5.99
78,35000.0,939,939,3.99
80,150000.0,46,60,8.59
66,35000.0,0,0,3.99
80,350000.0,0,0,3.99
90,350000.0,1422,1429,7.99
24,35000.0,0,0,4.49
59,75000.0,1,1,4.49
75,350000.0,270,270,4.49
92,150000.0,267,267,4.25
71,35000.0,0,0,4.25
94,350000.0,214,254,4.25
92,350000.0,1,1,0.0
83,35000.0,0,0,4.25
76,35000.0,0,0,4.25
72,35000.0,0,0,4.25
68,35000.0,0,0,4.25
76,35000.0,0,0,4.25
93,350000.0,237,237,4.25
84,35000.0,0,0,4.25
61,35000.0,0,0,4.25
83,35000.0,0,0,4.25
96,1500000.0,480,374,4.25
62,75000.0,0,0,4.25
72,35000.0,0,0,4.25
93,150000.0,0,0,4.25
75,750000.0,262,371,5.59
87,75000.0,8,8,5.59
95,350000.0,287,318,6.99
86,350000.0,20,24,3.99
78,75000.0,0,0,7.19
77,75000.0,111,111,6.99
71,75000.0,771,771,6.99
94,3500000.0,491,232,6.99
91,1500000.0,49,64,9.99
86,3500000.0,1166,13,2.99
93,750000.0,296,436,5.99
44,35000.0,0,0,2.99
73,75000.0,0,0,5.99
85,1500000.0,0,0,2.99
95,15000000.0,12422,1875,6.99
44,10000.0,0,0,5.99
73,350000.0,0,0,25.99
66,10000.0,0,0,3.99
75,35000.0,78,78,5.99
61,35000.0,0,0,7.99
65,35000.0,0,0,6.99
64,35000.0,0,0,7.99
95,1500000.0,493,360,9.99
63,150000.0,124,244,7.99
66,150000.0,1,1,4.99
93,3500000.0,175,186,0.0
94,1500000.0,309,340,9.99
95,1500000.0,543,620,9.99
94,3500000.0,469,361,0.0
84,350000.0,312,312,9.99
93,1500000.0,897,1192,8.99
71,750000.0,33,33,8.99
95,350000.0,0,0,0.0
84,75000.0,0,0,9.99
88,150000.0,1134,1208,3.99
82,150000.0,0,0,3.99
72,150000.0,1,1,3.99
64,150000.0,71,71,3.99
87,10000.0,0,0,0.0
84,1500000.0,627,253,6.99
94,1500000.0,369,265,7.19
95,150000.0,419,804,4.79
94,1500000.0,1254,174,7.19
90,1500000.0,127,180,7.19
91,150000.0,801,801,4.79
92,3500000.0,618,320,7.19
87,35000.0,17,17,7.19
86,35000.0,100,100,4.79
88,350000.0,255,363,7.19
86,150000.0,21,21,3.99
73,35000.0,0,0,3.99
91,350000.0,78,96,4.99
81,75000.0,0,0,3.99
43,35000.0,0,0,3.99
86,150000.0,20,20,13.99
91,350000.0,14,19,5.99
85,750000.0,70,102,0.0
86,35000.0,0,0,5.79
84,75000.0,0,0,6.99
76,350000.0,74,74,9.99
58,350000.0,90,90,15.99
87,750000.0,63,70,3.99
85,750000.0,12,14,3.99
84,750000.0,201,302,3.99
61,750000.0,14,20,3.99
85,1500000.0,63,58,8.29
93,1500000.0,435,365,9.29
73,350000.0,0,0,4.99
67,1500000.0,20,25,4.99
72,1500000.0,62,43,7.19
94,1500000.0,324,245,4.99
59,750000.0,24,31,4.99
84,750000.0,254,368,6.99
87,750000.0,714,725,4.99
74,75000.0,0,0,3.99
94,75000.0,0,0,6.99
74,350000.0,0,0,8.99
94,150000.0,4774,4774,25.99
72,150000.0,14,14,6.99
56,150000.0,0,0,6.99
56,35000.0,0,0,6.99
66,10000.0,0,0,6.99
61,750000.0,313,341,6.99
59,750000.0,327,403,14.99
44,350000.0,320,330,6.99
66,750000.0,165,253,5.99
69,350000.0,46,46,5.99
83,350000.0,1244,1261,2.99
92,750000.0,66,82,2.99
88,750000.0,18,18,2.99
51,750000.0,0,0,2.99
94,1500000.0,2235,2224,2.99
51,750000.0,0,0,2.99
86,350000.0,0,0,3.99
40,35000.0,0,0,1.99
66,150000.0,113,113,3.99
91,1500000.0,1417,1503,19.99
83,750000.0,239,280,6.99
62,350000.0,209,209,4.99
46,75000.0,0,0,3.99
74,750000.0,313,565,6.99
65,350000.0,132,132,6.99
91,3500000.0,519,272,9.99
52,150000.0,0,0,0.0
57,150000.0,0,0,0.0
47,150000.0,0,0,1.99
89,150000.0,0,0,22.99
90,150000.0,109,109,2.99
74,1500000.0,5123,230,0.0
82,1500000.0,1636,218,2.49
91,75000.0,0,0,4.99
95,1500000.0,108,108,5.99
95,3500000.0,614,519,19.99
56,350000.0,16,16,2.99
81,350000.0,23,23,2.99
95,7500000.0,4760,1797,19.99
71,35000.0,0,0,3.49
84,350000.0,0,0,2.49
91,350000.0,32,48,3.99
90,350000.0,88,91,2.49
94,350000.0,129,152,2.49
87,350000.0,362,394,0.0
81,350000.0,10,10,2.99
81,750000.0,7,12,0.0
93,350000.0,145,145,2.99
76,1500000.0,559,392,7.99
88,750000.0,213,365,9.99
91,3500000.0,79,106,9.99
86,1500000.0,306,306,8.99
96,1500000.0,803,1067,8.99
94,1500000.0,1433,1629,9.99
62,350000.0,154,154,9.99
76,3500000.0,322,81,9.99
62,350000.0,23,23,5.99
43,75000.0,0,0,6.99
80,35000.0,0,0,1.99
74,150000.0,64,84,3.99
59,35000.0,0,0,13.99
71,1500000.0,12952,724,0.0
76,1500000.0,2514,638,0.0
83,75000.0,222,360,1.99
40,10000.0,0,0,4.79
17,10000.0,0,0,6.99
66,35000.0,23,23,4.99
92,1500000.0,2331,1108,19.99
79,150000.0,10,19,14.99
77,150000.0,10,10,9.99
46,10000.0,0,0,6.99
79,150000.0,0,0,9.99
64,10000.0,0,0,6.99
80,750000.0,645,1001,14.99
91,7500000.0,999,580,19.99
36,75000.0,411,411,8.99
28,10000.0,0,0,5.59
60,10000.0,0,0,4.99
50,10000.0,0,0,4.99
33,10000.0,0,0,4.99
71,75000.0,889,889,9.99
48,35000.0,0,0,9.99
89,3500000.0,3176,1385,19.99
88,1500000.0,170,168,9.99
86,3500000.0,902,87,0.0
72,150000.0,0,0,6.99
67,35000.0,0,0,6.99
31,150000.0,0,0,0.0
78,150000.0,0,0,6.99
64,75000.0,0,0,6.99
76,150000.0,0,0,6.99
57,350000.0,355,374,6.99
71,75000.0,46,49,1.79
49,350000.0,15,15,3.99
68,75000.0,0,0,5.59
58,75000.0,0,0,5.59
87,150000.0,91,97,4.79
81,150000.0,41,69,3.99
76,150000.0,76,108,3.99
74,150000.0,36,36,3.99
92,1500000.0,304,304,3.49
81,150000.0,0,0,3.99
61,35000.0,0,0,3.49
36,350000.0,119,176,3.49
86,1500000.0,98,63,5.99
92,3500000.0,209,93,5.99
89,3500000.0,807,249,9.99
65,350000.0,99,101,5.99
90,750000.0,316,316,5.99
93,750000.0,175,175,5.99
86,750000.0,7,7,0.0
91,750000.0,3,4,0.0
82,1500000.0,319,225,9.99
65,3500000.0,1255,634,19.99
73,3500000.0,508,112,14.99
80,35000.0,0,0,6.99
